web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-58","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Sultan-Galera Duo","package_2","10 ha/csomag: káposztarepce, mustár, olajretek","3x5 l Sultan 50 SC","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-59","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Trimmer Trio","package_2","3 ha/csomag: tritikálé, rozs, árpa (őszi, tavaszi), búza (őszi, tavaszi)","105 g Trimmer Max","","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-60","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Trimmer Trio + Trend","package_2","3 ha/csomag: árpa, búza, rozs, tritikálé","105 g Trimmer Max","0,9 l Tomigan 250 EC","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-61","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Trimmer Trio Box","package_2","kalászosok","Tomigan 250 EC","Trimmer Max","","","","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-62","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Trimmer Trio Box + Buzz Ultra csomag","package_2","kalászosok","Tomigan 250 EC","Trimmer Max","","","2 db Buzz Ultra DF","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-63","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-64","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adama - Trimmer trio Box + Maxentis csomag","package_2","kalászosok","Tomigan 250 EC","Trimmer Max","","","10 L Maxentis","https://cdn.agromedium.com/uploads/2019/04/67c9c5c1001d85f5c905/thumbnail.png"
"1769693586-65","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adengo","error","150 g/l ciproszulfamid, 225 g/l izoxaflutol, 90 g/l tienkarbazon-metil","2025. szept. 30.","gyomirtó szer","","2025. szept. 30.","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f400102ba14e1a/thumbnail.png"
"1769693586-66","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adentis","check_circle","750 g/kg tribenuron-metil","2035. jan. 30.","gyomirtó szer","2035. jan. 30.","","","https://cdn.agromedium.com/uploads/2019/09/67c9c6f70009b6d8d321/thumbnail.jpg"
"1769693586-67","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Adiunkt 500 SC","check_circle","500 g/l diflufenikán","2026. okt. 31.","gyomirtó szer","2026. okt. 31.","","","https://cdn.agromedium.com/uploads/2022/12/67c9c6f4001560c3ef62/thumbnail.jpg"
